iter	MultiClass
0	1.304652562
1	1.231219125
2	1.169551434
3	1.115059328
4	1.072544114
5	1.029247245
6	0.9963375279
7	0.9649646604
8	0.9399253029
9	0.9158204379
10	0.8967434524
11	0.875258306
12	0.8559429988
13	0.8399249692
14	0.8244204006
15	0.8084610514
16	0.794082536
17	0.7821791066
18	0.7713343596
19	0.7611718344
20	0.7505737317
21	0.7404496102
22	0.7322089897
23	0.7251931786
24	0.7161476208
25	0.7079987268
26	0.7004192399
27	0.6923903332
28	0.6858715706
29	0.6796743055
30	0.6735618987
31	0.6695253248
32	0.6635678422
33	0.6572327976
34	0.6517980637
35	0.6463270744
36	0.640450588
37	0.6344757983
38	0.6291375325
39	0.6257090129
40	0.6217071008
41	0.6181961863
42	0.6140788653
43	0.6095270282
44	0.6043532901
45	0.6004894281
46	0.5962163998
47	0.5923535989
48	0.5886867631
49	0.5853648136
50	0.5822554189
51	0.5786519838
52	0.5738843068
53	0.5712455085
54	0.5690466999
55	0.5660164504
56	0.5629158795
57	0.5608175201
58	0.5578309304
59	0.5544569865
60	0.5520041944
61	0.5492528819
62	0.5461207442
63	0.5427287943
64	0.5404380965
65	0.5376640512
66	0.5343182631
67	0.5311720581
68	0.5284483681
69	0.5259736919
70	0.5242582957
71	0.5219809443
72	0.5187178144
73	0.516316406
74	0.5128635807
75	0.5107739106
76	0.5088260954
77	0.5062015141
78	0.5033017807
79	0.5014076385
80	0.5000727512
81	0.4978246789
82	0.4962597029
83	0.4946932644
84	0.4924679917
85	0.4894634146
86	0.4877910195
87	0.4857755127
88	0.4836482072
89	0.481145568
90	0.4787912048
91	0.4770758174
92	0.4750426369
93	0.4728931453
94	0.471174763
95	0.4699807833
96	0.4685852733
97	0.467245512
98	0.4656552813
99	0.4631448247
100	0.4607894082
101	0.4587998327
102	0.4564833238
103	0.4537988401
104	0.4514760914
105	0.4501501632
106	0.4487299703
107	0.4467634522
108	0.445593885
109	0.4436449386
110	0.4414922286
111	0.4387941274
112	0.4367554037
113	0.4349248139
114	0.4335748552
115	0.4322948927
116	0.4305751389
117	0.4283210168
118	0.4266293994
119	0.4240686469
120	0.4228708127
121	0.4204648779
122	0.417943788
123	0.416756994
124	0.4153984224
125	0.4146774963
126	0.41385635
127	0.4127680569
128	0.4101696811
129	0.4080280531
130	0.4070535648
131	0.4064209073
132	0.4051067886
133	0.4039854299
134	0.4023712647
135	0.4010989227
136	0.3996025612
137	0.3981556092
138	0.3971762654
139	0.3959996119
140	0.3952399494
141	0.3930079257
142	0.3919849297
143	0.3907931944
144	0.3893820057
145	0.3883548481
146	0.3874402591
147	0.3866454486
148	0.385824868
149	0.3851936013
150	0.3840594459
151	0.3830943574
152	0.3818479337
153	0.3803340958
154	0.3789690292
155	0.3775290758
156	0.3757534016
157	0.3745816734
158	0.373150135
159	0.3716378868
160	0.3703467056
161	0.3687445547
162	0.3675181659
163	0.3660016275
164	0.364830774
165	0.3632754005
166	0.3623248678
167	0.3610594375
168	0.3603344509
169	0.3595246262
170	0.3587126643
171	0.3576022478
172	0.3565758744
173	0.355506075
174	0.3546803505
175	0.3539746289
176	0.3532768108
177	0.3515006762
178	0.3510065523
179	0.3497585173
180	0.348541704
181	0.3473170786
182	0.3465531987
183	0.3457297682
184	0.3447448507
185	0.3437610805
186	0.3430743283
187	0.3420619312
188	0.3405204361
189	0.3397513669
190	0.3384881294
191	0.337462237
192	0.3359570574
193	0.3346831946
194	0.3333549196
195	0.3321534144
196	0.3310503267
197	0.3304532368
198	0.3296284809
199	0.3288124351
200	0.3280570074
201	0.3265315465
202	0.3254065073
203	0.3242323108
204	0.3232067096
205	0.3222048034
206	0.3216322663
207	0.321007008
208	0.3200088455
209	0.3193856714
210	0.3187962925
211	0.3183440138
212	0.3176172656
213	0.3167050248
214	0.3161811934
215	0.3151487058
216	0.3145854497
217	0.3133108785
218	0.3121751263
219	0.3113868093
220	0.3105840508
221	0.3102861407
222	0.3094624985
223	0.3086065246
224	0.3078332362
225	0.3073266723
226	0.30660361
227	0.3056323292
228	0.3046442635
229	0.3040045164
230	0.3033538019
231	0.3026408372
232	0.3018521392
233	0.3008856407
234	0.2996394668
235	0.2989150212
236	0.2981544857
237	0.2970581923
238	0.2963726833
239	0.2956571041
240	0.2944815508
241	0.294030927
242	0.2935262157
243	0.2928013727
244	0.29183135
245	0.2909761133
246	0.290062615
247	0.2890838615
248	0.2885647709
249	0.2878121945
250	0.2867562959
251	0.2857172357
252	0.2849585128
253	0.2841804984
254	0.2832295836
255	0.2828814527
256	0.2819586044
257	0.2814397517
258	0.2806801751
259	0.2801185062
260	0.2795502185
261	0.2791818723
262	0.2788170563
263	0.2782370255
264	0.2779615416
265	0.2774304162
266	0.2767237481
267	0.2760057253
268	0.2752150323
269	0.2744460693
270	0.2739408335
271	0.2737250945
272	0.2734028309
273	0.2725053998
274	0.2718858016
275	0.2714975761
276	0.2707327952
277	0.2697485003
278	0.2690284462
279	0.2683341446
280	0.2674354199
281	0.2668851729
282	0.2662687225
283	0.2657261539
284	0.2650552744
285	0.2646960426
286	0.2640022365
287	0.2633964648
288	0.2628495529
289	0.2620253123
290	0.2613799639
291	0.2608300724
292	0.2603874217
293	0.2595874723
294	0.2586365842
295	0.2579475179
296	0.2570897413
297	0.256160024
298	0.2552670636
299	0.2548712251
300	0.2545255081
301	0.2537437324
302	0.2531108336
303	0.252644612
304	0.2521610804
305	0.2517048868
306	0.2511740508
307	0.2510372445
308	0.2503246597
309	0.2495459159
310	0.2489159579
311	0.2486836721
312	0.2480339318
313	0.2477332801
314	0.2475254797
315	0.2470078546
316	0.2467053523
317	0.2462916983
318	0.2458258943
319	0.2454053089
320	0.2445179924
321	0.2435870339
322	0.2432781631
323	0.2430264037
324	0.2424062517
325	0.2419245507
326	0.241447488
327	0.2409476983
328	0.2403511877
329	0.2399983003
330	0.2392458139
331	0.2388122674
332	0.2384908008
333	0.2380555703
334	0.2373198996
335	0.2367873246
336	0.2358951248
337	0.2353098152
338	0.2350100834
339	0.2347902934
340	0.2340866801
341	0.2338858262
342	0.2333396974
343	0.2326591998
344	0.2324758656
345	0.2317750037
346	0.2316757703
347	0.231442524
348	0.2308597815
349	0.2307241835
350	0.2303904687
351	0.2298391232
352	0.2295594181
353	0.229317127
354	0.2288810766
355	0.2283653414
356	0.2278444881
357	0.2273517023
358	0.226835746
359	0.2262550759
360	0.2256929918
361	0.2250557201
362	0.2242895681
363	0.2237627017
364	0.2230149944
365	0.2226443581
366	0.2219750754
367	0.2217577639
368	0.2211939511
369	0.2206493531
370	0.2201701759
371	0.2196493803
372	0.2193904577
373	0.218972457
374	0.2183387221
375	0.2180008048
376	0.2177010346
377	0.2174248346
378	0.2172368726
379	0.216798289
380	0.2161758344
381	0.2160035805
382	0.2156896165
383	0.2152038142
384	0.2146682151
385	0.2141495436
386	0.21395066
387	0.2132483973
388	0.2127655501
389	0.212567313
390	0.2123099302
391	0.2121176043
392	0.2119666253
393	0.2112050415
394	0.210575206
395	0.2102102959
396	0.2093839773
397	0.2087368887
398	0.2083865821
399	0.2079251225
400	0.2077265342
401	0.2075199181
402	0.2068967504
403	0.2063654231
404	0.2060945745
405	0.2054169393
406	0.2048409513
407	0.2046118837
408	0.2042892411
409	0.2040184377
410	0.2035977233
411	0.2032500717
412	0.2028348409
413	0.2025633596
414	0.2016109073
415	0.201289907
416	0.2008799935
417	0.2005229026
418	0.2002977372
419	0.1999180788
420	0.1995947106
421	0.1994212999
422	0.1992130702
423	0.1988021329
424	0.1983285317
425	0.1981543926
426	0.1977726234
427	0.1974296764
428	0.1971382724
429	0.1968352725
430	0.1964385864
431	0.1962099801
432	0.195622304
433	0.1952236893
434	0.194978909
435	0.1945937141
436	0.194250594
437	0.1940194718
438	0.1937934251
439	0.1931819254
440	0.1929225753
441	0.1924287118
442	0.1918516947
443	0.1914263713
444	0.1911280843
445	0.1908552868
446	0.1904715967
447	0.1899669316
448	0.1897909753
449	0.189478998
450	0.1892971403
451	0.1889338556
452	0.1888195245
453	0.188634568
454	0.1882741285
455	0.1878890347
456	0.1876658341
457	0.1875259508
458	0.1871164017
459	0.1870144663
460	0.1867912692
461	0.1864272487
462	0.186105743
463	0.185828386
464	0.1856089874
465	0.1850004006
466	0.1847601484
467	0.1844169295
468	0.1840363302
469	0.1837737048
470	0.1833080868
471	0.1829397269
472	0.1827046532
473	0.1824599458
474	0.1819365401
475	0.1816323253
476	0.1810222672
477	0.1807539075
478	0.1803048762
479	0.1800138533
480	0.1797212579
481	0.1793808017
482	0.1792079063
483	0.1789353418
484	0.1787545135
485	0.1784278887
486	0.1780682883
487	0.1777315195
488	0.1774270606
489	0.177101278
490	0.1768090609
491	0.1765903596
492	0.176226583
493	0.1757008833
494	0.1754433187
495	0.1751594966
496	0.1748523399
497	0.1746644989
498	0.174330445
