iter	Passed	Remaining
0	37	37169
1	69	34593
2	99	32955
3	130	32544
4	161	32218
5	191	31800
6	224	31780
7	255	31743
8	287	31617
9	319	31674
10	352	31709
11	385	31776
12	419	31820
13	451	31780
14	484	31800
15	517	31838
16	549	31791
17	582	31803
18	616	31830
19	647	31721
20	680	31726
21	715	31799
22	747	31754
23	778	31671
24	807	31492
25	840	31484
26	872	31459
27	904	31399
28	938	31423
29	971	31405
30	1001	31294
31	1033	31254
32	1064	31204
33	1095	31136
34	1131	31186
35	1165	31210
36	1195	31114
37	1226	31047
38	1260	31066
39	1295	31093
40	1327	31046
41	1360	31034
42	1396	31084
43	1432	31126
44	1467	31145
45	1503	31175
46	1536	31164
47	1572	31191
48	1608	31224
49	1642	31206
50	1676	31196
51	1710	31186
52	1748	31233
53	1782	31233
54	1819	31256
55	1853	31237
56	1891	31285
57	1922	31225
58	1953	31156
59	1986	31125
60	2021	31114
61	2053	31061
62	2088	31054
63	2123	31056
64	2155	31010
65	2189	30991
66	2223	30966
67	2257	30936
68	2291	30917
69	2326	30904
70	2360	30882
71	2392	30837
72	2425	30801
73	2458	30759
74	2489	30699
75	2522	30670
76	2553	30605
77	2586	30572
78	2621	30560
79	2655	30542
80	2688	30504
81	2725	30507
82	2757	30464
83	2792	30450
84	2826	30421
85	2858	30384
86	2890	30335
87	2920	30262
88	2952	30223
89	2985	30187
90	3017	30144
91	3051	30115
92	3082	30061
93	3114	30019
94	3147	29981
95	3179	29940
96	3209	29881
97	3240	29829
98	3271	29774
99	3304	29741
100	3336	29699
101	3370	29671
102	3403	29640
103	3433	29585
104	3468	29561
105	3501	29531
106	3535	29503
107	3569	29483
108	3602	29445
109	3635	29412
110	3667	29371
111	3703	29365
112	3737	29335
113	3771	29311
114	3807	29300
115	3841	29273
116	3874	29242
117	3911	29233
118	3944	29202
119	3982	29204
120	4016	29181
121	4052	29167
122	4091	29173
123	4130	29179
124	4168	29176
125	4204	29167
126	4239	29145
127	4273	29112
128	4308	29093
129	4344	29075
130	4376	29031
131	4409	28997
132	4443	28965
133	4475	28922
134	4506	28875
135	4541	28848
136	4572	28806
137	4606	28773
138	4637	28725
139	4670	28691
140	4701	28643
141	4734	28605
142	4766	28567
143	4801	28541
144	4831	28489
145	4865	28460
146	4899	28428
147	4930	28386
148	4962	28343
149	4993	28294
150	5024	28250
151	5056	28208
152	5089	28177
153	5124	28149
154	5155	28107
155	5189	28078
156	5219	28024
157	5252	27991
158	5287	27967
159	5317	27917
160	5348	27873
161	5382	27841
162	5412	27794
163	5445	27759
164	5481	27740
165	5514	27704
166	5549	27680
167	5585	27662
168	5618	27627
169	5652	27598
170	5688	27575
171	5722	27549
172	5756	27518
173	5790	27487
174	5824	27457
175	5858	27428
176	5892	27400
177	5927	27375
178	5962	27349
179	5996	27318
180	6031	27291
181	6064	27257
182	6096	27217
183	6126	27168
184	6161	27144
185	6195	27114
186	6226	27068
187	6257	27028
188	6292	27000
189	6324	26963
190	6363	26951
191	6402	26942
192	6440	26928
193	6477	26912
194	6511	26882
195	6546	26854
196	6582	26830
197	6614	26790
198	6646	26754
199	6678	26713
200	6709	26672
201	6743	26639
202	6776	26603
203	6808	26567
204	6840	26529
205	6875	26499
206	6906	26458
207	6937	26414
208	6969	26379
209	7001	26339
210	7033	26302
211	7065	26261
212	7095	26216
213	7127	26179
214	7161	26148
215	7193	26109
216	7225	26071
217	7259	26040
218	7291	26003
219	7325	25972
220	7359	25942
221	7391	25903
222	7420	25854
223	7453	25820
224	7485	25782
225	7513	25733
226	7546	25696
227	7577	25657
228	7608	25615
229	7639	25574
230	7671	25536
231	7702	25497
232	7734	25462
233	7768	25430
234	7802	25398
235	7832	25357
236	7867	25327
237	7900	25295
238	7935	25266
239	7967	25229
240	8000	25196
241	8032	25159
242	8063	25118
243	8098	25091
244	8131	25057
245	8165	25027
246	8198	24995
247	8230	24955
248	8263	24923
249	8294	24884
250	8325	24843
251	8360	24816
252	8396	24790
253	8433	24767
254	8468	24741
255	8502	24711
256	8538	24684
257	8571	24652
258	8605	24620
259	8638	24586
260	8675	24562
261	8712	24542
262	8750	24520
263	8784	24490
264	8818	24459
265	8855	24437
266	8894	24416
267	8928	24386
268	8965	24363
269	8999	24332
270	9032	24298
271	9066	24265
272	9098	24228
273	9132	24196
274	9165	24162
275	9198	24130
276	9231	24096
277	9265	24063
278	9298	24030
279	9332	23998
280	9366	23966
281	9398	23929
282	9431	23895
283	9464	23860
284	9499	23830
285	9530	23794
286	9563	23758
287	9596	23725
288	9629	23691
289	9663	23659
290	9695	23621
291	9728	23587
292	9759	23549
293	9793	23518
294	9827	23485
295	9859	23449
296	9893	23417
297	9932	23398
298	9965	23364
299	9998	23329
300	10031	23295
301	10064	23261
302	10097	23228
303	10130	23193
304	10162	23156
305	10194	23121
306	10223	23077
307	10254	23040
308	10288	23007
309	10321	22974
310	10354	22940
311	10387	22906
312	10418	22867
313	10450	22831
314	10481	22793
315	10513	22757
316	10543	22717
317	10578	22687
318	10611	22654
319	10642	22616
320	10677	22585
321	10709	22550
322	10741	22514
323	10772	22475
324	10805	22442
325	10838	22408
326	10871	22374
327	10905	22343
328	10938	22308
329	10970	22273
330	11010	22253
331	11046	22225
332	11079	22191
333	11113	22160
334	11148	22129
335	11183	22100
336	11217	22068
337	11248	22031
338	11281	21997
339	11316	21968
340	11352	21939
341	11387	21908
342	11422	21879
343	11455	21845
344	11487	21808
345	11522	21780
